layer,method,auc,aoc
instance_perturbation_module.neck.Rep_n5.block.1.rbr_dense.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.1.rbr_dense.conv,activation,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.1.rbr_dense.conv,random,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.0.rbr_dense.conv,GradCAM,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.0.rbr_dense.conv,Gradient,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.0.rbr_dense.conv,LRP-eps,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.0.rbr_dense.conv,LRP-gamma,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.0.rbr_dense.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.0.rbr_dense.conv,activation,0.0,1.0
instance_perturbation_module.neck.Rep_n6.block.0.rbr_dense.conv,random,0.0,1.0
instance_perturbation_module.neck.Rep_p3.block.1.rbr_dense.conv,GradCAM,0.6795821914974484,0.6567298995280064
instance_perturbation_module.neck.Rep_p3.block.1.rbr_dense.conv,Gradient,0.6846970120144148,0.6340724220664563
instance_perturbation_module.neck.Rep_p3.block.1.rbr_dense.conv,LRP-eps,0.636118834057293,0.5738554352201325
instance_perturbation_module.neck.Rep_p3.block.1.rbr_dense.conv,LRP-gamma,0.6016998214304473,0.545892740357086
instance_perturbation_module.neck.Rep_p3.block.1.rbr_dense.conv,LRP-zplus,0.7442286947046318,0.682628908888453
instance_perturbation_module.neck.Rep_p3.block.1.rbr_dense.conv,activation,0.5702449463579385,0.5348860545767714
instance_perturbation_module.neck.Rep_p3.block.1.rbr_dense.conv,random,0.42432010933635933,0.5075755858882962
instance_perturbation_module.backbone.ERBlock_3.1.block.1.rbr_dense.conv,GradCAM,0.73630310268083,0.7081306059934774
instance_perturbation_module.backbone.ERBlock_3.1.block.1.rbr_dense.conv,Gradient,0.7394442177979155,0.6780321902852251
instance_perturbation_module.backbone.ERBlock_3.1.block.1.rbr_dense.conv,LRP-eps,0.6753226279829694,0.4978583223521861
instance_perturbation_module.backbone.ERBlock_3.1.block.1.rbr_dense.conv,LRP-gamma,0.5786815807139499,0.5234811940389082
instance_perturbation_module.backbone.ERBlock_3.1.block.1.rbr_dense.conv,LRP-zplus,0.6199917092835653,0.5587885022644823
instance_perturbation_module.backbone.ERBlock_3.1.block.1.rbr_dense.conv,activation,0.4688379439034795,0.455193557089105
instance_perturbation_module.backbone.ERBlock_3.1.block.1.rbr_dense.conv,random,0.4636672720869506,0.504468632956532
instance_perturbation_module.backbone.ERBlock_4.1.block.2.rbr_dense.conv,GradCAM,0.7761964543737221,0.8146076523225865
instance_perturbation_module.backbone.ERBlock_4.1.block.2.rbr_dense.conv,Gradient,0.7659927228826048,0.8175944447749975
instance_perturbation_module.backbone.ERBlock_4.1.block.2.rbr_dense.conv,LRP-eps,0.48320093360084465,0.691997550417424
instance_perturbation_module.backbone.ERBlock_4.1.block.2.rbr_dense.conv,LRP-gamma,0.4175104766578596,0.5227920670721999
instance_perturbation_module.backbone.ERBlock_4.1.block.2.rbr_dense.conv,LRP-zplus,0.7356731323620831,0.7069002619781074
instance_perturbation_module.backbone.ERBlock_4.1.block.2.rbr_dense.conv,activation,0.5087910717530754,0.5927192298707384
instance_perturbation_module.backbone.ERBlock_4.1.block.2.rbr_dense.conv,random,0.3350403116856489,0.5828886515355869
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_dense.conv,GradCAM,0.6249085063965159,0.8283655010318723
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_dense.conv,Gradient,0.6241986350427646,0.8102800427081897
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_dense.conv,LRP-eps,0.33734951962102044,0.789223216319049
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_dense.conv,LRP-gamma,0.34478106418353915,0.38926044566486656
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_dense.conv,LRP-zplus,0.3697535564333261,0.5498299367293509
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_dense.conv,activation,0.3963433229948514,0.7706506161859896
instance_perturbation_module.backbone.ERBlock_4.1.block.4.rbr_dense.conv,random,0.35415006314787423,0.509951677299275
instance_perturbation_module.neck.Rep_n5.block.2.rbr_dense.conv,GradCAM,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_dense.conv,Gradient,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_dense.conv,LRP-eps,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_dense.conv,LRP-gamma,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_dense.conv,LRP-zplus,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_dense.conv,activation,0.0,1.0
instance_perturbation_module.neck.Rep_n5.block.2.rbr_dense.conv,random,0.0,1.0
instance_perturbation_module.neck.Rep_n4.block.0.rbr_dense.conv,GradCAM,0.35518045900097905,0.16116209982248506
instance_perturbation_module.neck.Rep_n4.block.0.rbr_dense.conv,Gradient,0.3661580878733134,0.1580801763823195
instance_perturbation_module.neck.Rep_n4.block.0.rbr_dense.conv,LRP-eps,0.3878334988261774,0.16039952869436533
instance_perturbation_module.neck.Rep_n4.block.0.rbr_dense.conv,LRP-gamma,0.3647252748174403,0.1602850986940198
instance_perturbation_module.neck.Rep_n4.block.0.rbr_dense.conv,LRP-zplus,0.3796219503184421,0.1580801763823195
instance_perturbation_module.neck.Rep_n4.block.0.rbr_dense.conv,activation,0.07202593735945934,0.2251217314764598
instance_perturbation_module.neck.Rep_n4.block.0.rbr_dense.conv,random,0.7136313596991072,0.3185789859579842
instance_perturbation_module.detect.reg_preds.2,GradCAM,0.0,1.0
instance_perturbation_module.detect.reg_preds.2,Gradient,0.0,1.0
instance_perturbation_module.detect.reg_preds.2,LRP-eps,0.0,1.0
instance_perturbation_module.detect.reg_preds.2,LRP-gamma,0.0,1.0
instance_perturbation_module.detect.reg_preds.2,LRP-zplus,0.0,1.0
instance_perturbation_module.detect.reg_preds.2,activation,0.0,1.0
instance_perturbation_module.detect.reg_preds.2,random,0.0,1.0
instance_perturbation_module.neck.Rep_n4.block.1.rbr_dense.conv,GradCAM,0.33651602769929423,0.19038191971049037
instance_perturbation_module.neck.Rep_n4.block.1.rbr_dense.conv,Gradient,0.34922426617323643,0.18760345317331334
instance_perturbation_module.neck.Rep_n4.block.1.rbr_dense.conv,LRP-eps,0.3601135446509201,0.190259095387967
instance_perturbation_module.neck.Rep_n4.block.1.rbr_dense.conv,LRP-gamma,0.3423325051673687,0.18985315408766124
instance_perturbation_module.neck.Rep_n4.block.1.rbr_dense.conv,LRP-zplus,0.3677608095887427,0.1888381638843839
instance_perturbation_module.neck.Rep_n4.block.1.rbr_dense.conv,activation,0.21146372765302712,0.26847717413383754
instance_perturbation_module.neck.Rep_n4.block.1.rbr_dense.conv,random,0.2656887110863579,0.21697496064475147
instance_perturbation_module.neck.Rep_p5.block.1.rbr_dense.conv,GradCAM,0.6002302379861997,0.6875995264430859
instance_perturbation_module.neck.Rep_p5.block.1.rbr_dense.conv,Gradient,0.6374224622010869,0.646631593381148
instance_perturbation_module.neck.Rep_p5.block.1.rbr_dense.conv,LRP-eps,0.19878070223834318,0.8273109306131468
instance_perturbation_module.neck.Rep_p5.block.1.rbr_dense.conv,LRP-gamma,0.20100164531129205,0.677421072811561
instance_perturbation_module.neck.Rep_p5.block.1.rbr_dense.conv,LRP-zplus,0.5765848427593794,0.5587328314877256
instance_perturbation_module.neck.Rep_p5.block.1.rbr_dense.conv,activation,0.3527443001127787,0.25391941839963766
instance_perturbation_module.neck.Rep_p5.block.1.rbr_dense.conv,random,0.5555335693039373,0.6119596432901188
instance_perturbation_module.neck.Rep_p5.block.2.rbr_dense.conv,GradCAM,0.5063491078892538,0.44438440674075297
instance_perturbation_module.neck.Rep_p5.block.2.rbr_dense.conv,Gradient,0.4285443416184792,0.38748039522086086
instance_perturbation_module.neck.Rep_p5.block.2.rbr_dense.conv,LRP-eps,0.2968051984619258,0.6389448827889663
instance_perturbation_module.neck.Rep_p5.block.2.rbr_dense.conv,LRP-gamma,0.34481104569279575,0.7229698341538189
instance_perturbation_module.neck.Rep_p5.block.2.rbr_dense.conv,LRP-zplus,0.3633299063322517,0.4397567446070449
